window_size,cut_index,qasm_line,identity_overlap,runtime_seconds
11,11,15,0.00016461953537611157,0.04392662504687905
11,12,16,0.0003109270573188234,0.04009862523525953
11,13,17,0.0004038304379749362,0.04105583392083645
11,14,18,0.00028344995037332107,0.039647208992391825
11,15,19,0.0001462852119752889,0.04131808364763856
11,16,20,8.974396159745956e-06,0.04040816565975547
11,17,21,2.4100499691721384e-06,0.038380082696676254
11,18,22,2.4100499691736317e-06,0.04055979195982218
11,19,23,0.00024395264236949443,0.03937570843845606
11,20,24,1.5777656374582397e-05,0.03907683305442333
11,21,25,0.00032281116827318336,0.0412692092359066
11,22,26,0.00022090014518505192,0.04205941688269377
11,23,27,0.00033871326962919184,0.04228745820000768
11,24,28,0.0003357396787637668,0.040535875130444765
11,25,29,0.012726300148068144,0.0422474998049438
11,26,30,1.0974410455047879e-09,0.03981458395719528
11,27,31,1.4634411480224176e-09,0.03898616740480065
11,28,32,0.021637395738437898,0.04063629172742367
11,29,33,5.902716725698646e-19,0.03936895774677396
11,30,34,4.563358987705064e-19,0.04043504223227501
11,31,35,1.4857157248657615e-34,0.04007350001484156
11,32,36,3.689274969804789e-34,0.03860345808789134
11,33,37,4.505812445168205e-19,0.0388817498460412
11,34,38,2.412296851846609e-19,0.03880045795813203
11,35,39,1.8248090933067016e-19,0.038625416811555624
11,36,40,9.577183480905268e-20,0.03942195884883404
11,37,41,2.6281132274785303e-21,0.03835425013676286
11,38,42,1.2891293339366898e-21,0.03819124959409237
11,39,43,9.115520938531336e-22,0.03830058267340064
11,40,44,9.11552080792614e-22,0.03834266681224108
11,41,45,1.2891284328813545e-21,0.03798224963247776
11,42,46,1.3337533056993527e-21,0.03957525035366416
11,43,47,1.0535435436192282e-21,0.0392302917316556
11,44,48,1.1588054025913141e-21,0.03777591697871685
11,45,49,1.158805408740023e-21,0.039331499952822924
11,46,50,1.1588054087400241e-21,0.039163833018392324
11,47,51,6.133179904267193e-21,0.03769324999302626
11,48,52,6.133179904267115e-21,0.03737412532791495
11,49,53,1.5140521108301843e-21,0.038524792063981295
11,50,54,3.0281042216603698e-21,0.03708666702732444
11,51,55,2.633734274621107e-05,0.038277416955679655
11,52,56,1.1029566760859048e-06,0.03863624995574355
11,53,57,5.437824864407208e-05,0.03808016609400511
11,54,58,6.616535978286162e-06,0.14034304209053516
11,55,59,8.19359778188167e-05,0.03892141720280051
11,56,60,4.799704066442335e-05,0.04229195788502693
11,57,61,0.00016387161234335447,0.04507045866921544
11,58,62,1.222582293892179e-11,0.0444475831463933
11,59,63,0.01291328923006347,0.0458284174092114
11,60,64,0.03277230059101926,0.042021125089377165
11,61,65,0.05412720853356475,0.04116333415731788
11,62,66,0.020504472747430388,0.04158537508919835
11,63,67,0.009155836212901532,0.043526959139853716
11,64,68,0.024683335031259485,0.0395437921397388
11,65,69,0.033824797545269,0.03895445819944143
11,66,70,0.062458535643706625,0.03873912524431944
11,67,71,0.001851633710353294,0.0414142906665802
11,68,72,6.438733088477495e-05,0.04252566583454609
11,69,73,0.08975822840690048,0.04144045803695917
11,70,74,0.08107711241017458,0.04194470914080739
11,71,75,0.09831623366869467,0.04079374996945262
11,72,76,0.07484880083437907,0.0412495001219213
11,73,77,0.10838567315281239,0.04359100013971329
11,74,78,0.08160076913726064,0.04286549985408783
11,75,79,0.002666040279856923,0.04099608305841684
11,76,80,0.040239231982316596,0.040628458838909864
11,77,81,0.03166605024023486,0.04023891594260931
11,78,82,0.031736350805637935,0.0387169998139143
11,79,83,0.002650203841334538,0.042338416911661625
11,80,84,0.0018916896414067968,0.039518166333436966
11,81,85,0.00356614579696358,0.0435316669754684
11,82,86,0.05320116020061875,0.04213683307170868
11,83,87,0.07608617496829043,0.03987995907664299
11,84,88,0.10800479206193515,0.038733167108148336
11,85,89,0.022864628869840597,0.03982629207894206
11,86,90,0.015033999763035752,0.04067520797252655
11,87,91,0.030044287166015846,0.041030250024050474
11,88,92,0.07702995813081677,0.041397042106837034
11,89,93,0.03384551628098235,0.04257045825943351
