window_size,cut_index,qasm_line,identity_overlap,runtime_seconds
60,60,64,1.2531869021355338e-27,0.10340900020673871
60,61,65,1.0483950149375338e-27,0.09966916684061289
60,62,66,3.070226978743262e-35,0.09985795896500349
60,63,67,4.6241846962053914e-26,0.10587533377110958
60,64,68,4.6503743591653093e-26,0.10297258291393518
60,65,69,6.487022677735166e-27,0.09530358295887709
60,66,70,3.925633499961768e-26,0.09911162499338388
60,67,71,7.971596094666105e-26,0.09533758321776986
60,68,72,7.435601322534791e-26,0.09260491700842977
60,69,73,4.951249966069461e-26,0.09435929171741009
60,70,74,1.4924114905701124e-25,0.10541183408349752
60,71,75,1.7182621566730774e-25,0.10325775016099215
60,72,76,1.2608586359671976e-25,0.10168537497520447
60,73,77,1.0812110173170528e-24,0.17293770797550678
60,74,78,1.0523710592540572e-24,0.10332762496545911
60,75,79,1.9040613788273004e-25,0.10588979162275791
60,76,80,1.7596681685456185e-25,0.10351187456399202
60,77,81,1.946380924977715e-24,0.1041659158654511
60,78,82,1.827654537401613e-24,0.10572412516921759
60,79,83,4.280441453102012e-25,0.12522345874458551
60,80,84,1.134111669390616e-25,0.10978820873424411
60,81,85,3.7790510876840807e-25,0.10342616681009531
60,82,86,3.022303555138691e-25,0.10441141715273261
60,83,87,3.2576997807653604e-30,0.09717349987477064
60,84,88,1.0316457123950336e-30,0.09564845776185393
60,85,89,1.518920716224186e-30,0.09367916686460376
60,86,90,5.239236206644675e-31,0.09375587524846196
60,87,91,5.020428352210569e-31,0.09780858270823956
60,88,92,3.9910775974730587e-32,0.09474375005811453
60,89,93,1.1442614012620739e-30,0.09202008275315166
60,90,94,1.2510926415013515e-32,0.09252983285114169
60,91,95,7.996112352932332e-32,0.09921645792201161
60,92,96,2.7410241862108014e-32,0.09092441666871309
60,93,97,1.5701401587586037e-32,0.09214262524619699
60,94,98,2.3795611986473407e-32,0.09263125015422702
60,95,99,3.018914135835158e-32,0.09121641702950001
60,96,100,1.0490664136633297e-32,0.08722350001335144
60,97,101,7.276551944020635e-33,0.08504770789295435
60,98,102,3.6020438722703175e-31,0.08812183327972889
60,99,103,2.3647498047100308e-31,0.09538824995979667
60,100,104,1.2823740151067546e-14,0.09782766597345471
60,101,105,9.958459693634979e-15,0.09909637505188584
60,102,106,1.2994893495387399e-14,0.09970991732552648
60,103,107,1.1315203134332173e-14,0.10020270897075534
60,104,108,1.557873685470397e-14,0.1129522081464529
60,105,109,6.84254603070582e-20,0.10774458292871714
60,106,110,2.5060834614508726e-19,0.10609287489205599
60,107,111,1.1408920475004623e-18,0.10807620827108622
60,108,112,1.8370955277877204e-18,0.12908404180780053
60,109,113,6.45706174522058e-17,0.13034183299168944
60,110,114,2.6559482094071815e-17,0.12476454162970185
60,111,115,2.23793383770606e-17,0.13157599978148937
60,112,116,6.259727944374608e-17,0.13001779234036803
60,113,117,5.321182716150378e-17,0.1319610420614481
60,114,118,3.4051253791717086e-11,0.1314220828935504
60,115,119,2.157165002097133e-11,0.13239749986678362
60,116,120,3.013111273257752e-11,0.13121970789507031
60,117,121,1.84589477497417e-08,0.115771166048944
60,118,122,1.6243232264113482e-06,0.11447712499648333
60,119,123,3.037774422195981e-07,0.11528775002807379
60,120,124,4.437423827675174e-07,0.08894220879301429
60,121,125,5.0813595046261996e-05,0.08601808408275247
60,122,126,4.943344087568266e-05,0.07611116720363498
60,123,127,2.0881385526426788e-05,0.07222695928066969
60,124,128,2.4748262591028217e-05,0.06825212482362986
60,125,129,2.3633108391823087e-05,0.0657497919164598
60,126,130,4.16219747176199e-05,0.06704491702839732
60,127,131,1.7212319408554338e-05,0.06549683399498463
60,128,132,2.5808118574859623e-06,0.0647605829872191
60,129,133,1.999837285882712e-06,0.06717512477189302
60,130,134,2.7497110646577838e-06,0.06409183284267783
60,131,135,5.862451329426054e-06,0.06754812505096197
60,132,136,3.434734092811047e-06,0.06473033269867301
60,133,137,1.109590952807533e-05,0.0651781246997416
60,134,138,1.0229171024365453e-05,0.06467987457290292
60,135,139,3.873036940720554e-06,0.13461379194632173
60,136,140,1.0871799223073727e-05,0.06476866686716676
60,137,141,6.05855977360599e-06,0.06687916722148657
60,138,142,5.2150801305112775e-06,0.06630258308723569
60,139,143,8.097553530414539e-06,0.06536695826798677
60,140,144,9.546330902097462e-06,0.06620129197835922
60,141,145,7.297708595767685e-06,0.06528008310124278
60,142,146,5.223432643435994e-06,0.06332287518307567
60,143,147,1.5490840797063345e-08,0.06544870790094137
60,144,148,1.855761843730974e-06,0.06495387526229024
60,145,149,5.439601767376943e-08,0.06309124967083335
60,146,150,4.875081582613029e-06,0.06567662535235286
60,147,151,8.11564937244236e-06,0.06421316601336002
60,148,152,9.034641900746662e-14,0.06472870893776417
60,149,153,4.989282905305712e-06,0.06629041722044349
60,150,154,9.321844955481474e-08,0.0644228751771152
60,151,155,1.012249895427672e-06,0.06555250007659197
60,152,156,2.2197620970128444e-05,0.06575770769268274
60,153,157,1.947571708745128e-05,0.06399699999019504
60,154,158,2.854474792850156e-05,0.06446300027891994
60,155,159,3.1528169125459846e-05,0.06528287520632148
60,156,160,2.228310589797483e-05,0.06450037471950054
60,157,161,1.669067059933642e-05,0.06322033377364278
60,158,162,5.3840849091666224e-06,0.06580108311027288
60,159,163,8.536720837730585e-06,0.06598462536931038
60,160,164,5.646658888706782e-06,0.06371887493878603
60,161,165,1.1373844225534516e-05,0.06274324981495738
60,162,166,3.109978185643985e-05,0.06181758316233754
60,163,167,1.3862920602051145e-05,0.06432058289647102
60,164,168,2.375527767227018e-05,0.06349087506532669
60,165,169,1.8423883749622683e-05,0.0650179167278111
60,166,170,8.508972672926532e-05,0.06263345805928111
60,167,171,7.377532111337388e-05,0.06559958402067423
60,168,172,5.64977014235817e-05,0.06499058287590742
60,169,173,3.4313261503038355e-05,0.06607516715303063
60,170,174,1.799791793138145e-05,0.06473474996164441
60,171,175,7.129419465489752e-05,0.06299929181113839
60,172,176,0.0002884381241322912,0.06378716696053743
60,173,177,2.1878895482721737e-05,0.06413962505757809
60,174,178,3.6729273518543474e-05,0.06571204168722034
60,175,179,2.6500219980940934e-05,0.06578104197978973
60,176,180,0.000123150520869815,0.06564250029623508
60,177,181,9.454337910073357e-05,0.06404041592031717
60,178,182,3.1505418856820624e-05,0.06523183407261968
60,179,183,2.0428289490895484e-06,0.0620558331720531
60,180,184,7.678429719958679e-07,0.06439425004646182
60,181,185,1.874419825499102e-05,0.06448050029575825
60,182,186,9.221795231623572e-06,0.06618437496945262
60,183,187,2.570558415899174e-06,0.06761000026017427
60,184,188,1.1256159641108796e-05,0.06608649995177984
60,185,189,4.239135673458156e-06,0.06580383330583572
60,186,190,6.839474760394596e-06,0.06524395802989602
60,187,191,1.4650301148222597e-06,0.06338937534019351
60,188,192,4.567299391685116e-06,0.062287624925374985
60,189,193,2.699972971328312e-06,0.06469929171726108
60,190,194,9.24933858431056e-07,0.06312391581013799
60,191,195,3.1103980420642714e-06,0.06160208256915212
60,192,196,4.952039391237558e-07,0.06161716626957059
60,193,197,9.439017236460891e-07,0.0633065840229392
60,194,198,6.662750558681269e-07,0.061894167214632034
60,195,199,2.5613257248635204e-07,0.06442249985411763
60,196,200,9.224997413242935e-06,0.0626339172013104
60,197,201,7.499472483214658e-06,0.06376037513837218
60,198,202,1.950723612105534e-06,0.06265541585162282
60,199,203,2.009737918667308e-06,0.0626404588110745
60,200,204,4.783730544240428e-06,0.06447558291256428
60,201,205,3.997869655366944e-06,0.06254483293741941
60,202,206,1.6978353872488174e-06,0.061819542199373245
60,203,207,4.1855403494957656e-06,0.06246662512421608
60,204,208,7.042868538605331e-06,0.06207170803099871
60,205,209,1.0182229450039508e-05,0.06129487510770559
60,206,210,4.858622627842956e-06,0.062330832704901695
60,207,211,4.101844384723161e-06,0.06077808327972889
60,208,212,2.6687100852191304e-06,0.06333941593766212
60,209,213,1.8466550330345127e-06,0.06347595900297165
60,210,214,1.289266427242962e-06,0.062206916976720095
60,211,215,3.994268828382313e-06,0.13782995799556375
60,212,216,5.107083495378098e-06,0.063722750172019
60,213,217,2.502480158313718e-06,0.06308354204520583
60,214,218,2.966758292411828e-06,0.06687583308666945
60,215,219,1.3927685557035788e-22,0.06411137478426099
