window_size,cut_index,qasm_line,identity_overlap,runtime_seconds
5,5,9,0.05890328581253048,0.03504854068160057
5,6,10,0.08494513805773209,0.034405083861202
5,7,11,0.10461259205217056,0.03559416625648737
5,8,12,0.07936480090668638,0.03457270795479417
5,9,13,0.06347013877146598,0.034588875249028206
5,10,14,0.058010642250894265,0.03595270914956927
5,11,15,0.05374395272076387,0.03511733282357454
5,12,16,0.020442391914406183,0.0346776251681149
5,13,17,0.0007458725615514355,0.03578824969008565
5,14,18,0.001834745500329663,0.0358924581669271
5,15,19,0.00520994051037112,0.03906566696241498
5,16,20,0.0020086163289287904,0.036938083358109
5,17,21,0.0030501265127216705,0.03651291597634554
5,18,22,0.003155367190981086,0.03587999986484647
5,19,23,0.0065245065262425385,0.03596295928582549
5,20,24,0.006524508326560717,0.03653104184195399
5,21,25,0.004917788657826516,0.037310415878891945
5,22,26,0.004025847871909712,0.036496374756097794
5,23,27,0.164840375381003,0.039098083041608334
5,24,28,0.11655975159596166,0.037276582792401314
5,25,29,0.16484049372963328,0.03529145801439881
5,26,30,2.8565708696236623e-10,0.03668970800936222
5,27,31,1.0099503240042852e-10,0.03825008403509855
5,28,32,0.002712964271196609,0.04041999997571111
5,29,33,0.00290941367508189,0.037080875132232904
5,30,34,0.0020572662155127516,0.03960254183039069
5,31,35,0.0014547068865579888,0.03846720885485411
5,32,36,0.05771659034979973,0.03891016682609916
5,33,37,0.03491983480569258,0.040577125269919634
5,34,38,0.060408908894795166,0.03965970827266574
5,35,39,2.615571234684563e-18,0.04024770809337497
5,36,40,1.9135106169105048e-18,0.03986266674473882
5,37,41,1.3530563330898738e-18,0.04028804088011384
5,38,42,1.2500611031456349e-18,0.039414667058736086
5,39,43,2.499801136407577e-18,0.039948000106960535
5,40,44,3.535252670343283e-18,0.03901258297264576
5,41,45,5.000244430240026e-18,0.03816604195162654
5,42,46,1.497899290116021e-18,0.03808595845475793
5,43,47,3.329758503955564e-20,0.03808695916086435
5,44,48,4.2680106544608124e-20,0.03642966691404581
5,45,49,0.0006970190355998752,0.03725387528538704
5,46,50,1.1170453968201856e-05,0.036645709071308374
5,47,51,0.0018738713492226049,0.0359441670589149
5,48,52,0.0020282636505376504,0.037731749936938286
